Show,Season,Episode Number,Episode Title,Airdate
Flash,Season 1,4,Going Rogue,28 Oct. 2014
Flash,Season 1,5,Plastique,11 Nov. 2014
Flash,Season 1,6,The Flash Is Born,18 Nov. 2014
Flash,Season 1,7,Power Outage,25 Nov. 2014
Flash,Season 1,8,Flash vs. Arrow,2 Dec. 2014
Flash,Season 1,9,The Man in the Yellow Suit,9 Dec. 2014
Flash,Season 1,10,Revenge of the Rogues,20 Jan. 2015
Flash,Season 1,11,The Sound and the Fury,27 Jan. 2015
Flash,Season 1,12,Crazy for You,3 Feb. 2015
Flash,Season 1,13,The Nuclear Man,10 Feb. 2015
Flash,Season 1,14,Fallout,17 Feb. 2015
Flash,Season 1,15,Out of Time,17 Mar. 2015
Flash,Season 1,16,Rogue Time,24 Mar. 2015
Flash,Season 1,17,Tricksters,31 Mar. 2015
Flash,Season 1,18,All Star Team Up,14 Apr. 2015
Flash,Season 1,19,Who Is Harrison Wells?,21 Apr. 2015
Flash,Season 1,20,The Trap,28 Apr. 2015
Flash,Season 1,21,Grodd Lives,5 May 2015
Flash,Season 1,22,Rogue Air,12 May 2015
Flash,Season 1,23,Fast Enough,19 May 2015
